155.210.154.194:1756118:47:53.543174 raft.go:161: logger initialized
155.210.154.194:1756118:47:53.543300 raft.go:88: Réplica 0: comienza la ejecución
155.210.154.194:1756118:47:53.605029 raftEleccion.go:101: Replica 0: peticion voto de 2, he votado a -1, mi mandato: 0, el del candidato: 1
155.210.154.194:1756118:47:53.605038 raftEleccion.go:110: Réplica 0: le concedo el voto al candidato 2
155.210.154.194:1756118:47:53.605550 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.657276 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.709000 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.760983 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.812810 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.865177 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.917183 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:53.969617 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.021765 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.073988 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.126023 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.178093 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.230367 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.282451 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.334142 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.386148 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.437974 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.490342 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.542714 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.594884 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.647068 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.699356 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.751607 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.803784 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.855973 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.908251 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:54.960507 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:55.012671 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
